Disease	Finding	Transmission Method (Comma separated list)	Reproductive Number	Incubation Period (days)	Mortality Rate UnTreated	Mortality Rate Treated	Gram Stain	Infectious Dose
Inhalation anthrax	muscle aches=0.333333,stridor=2.000000,fever=0.181818,moist rales=2.000000,shortness of breath=1.000000,infection located in lung lymph nodes=1.000000,mild fever=1.000000,cyanosis=2.000000,chest discomfort=1.000000,tiredness=1.000000,acute dyspnoea=2.000000,tachycardia=2.000000,cough=0.250000,tachypnoea=2.000000,sore throat=0.250000	Airborne Transmission	3	4	0.45	0.4	Positive	8,000-10,000 organisms
Cutaneous anthrax	skin lesion that eventually forms an ulcer with a black center=2.000000,infection located in skin=1.000000	Animal to Human Transmission, Transdermal Transmission	1.3	4	0.2	0.01	Positive	1,000 organisms
Oropharyngeal anthrax	lesions=0.500000,vomiting of blood=2.000000,infection located in mucosa of oropharynx=1.000000,loss of appetite=1.000000,severe diarrhea=1.000000	Food Borne Transmission	2	4	0.5	0.5	Positive	1,000 organisms
Clostridium botulism (Types A, B, E and F cause human botulism)	altered voice or difficulty speaking=2.000000,paralysis=2.000000,dry mouth=2.000000,drooping eyelids=2.000000,difficulty swallowing=2.000000	Food Borne Transmission	2	1	0.6	0.1	Positive	1ng/kg of body weight
Bubonic plague	enlarged tender lymph nodes=2.000000,fever=0.090909,prostration=1.000000,chills=0.166667	Vector-borne Transmission	1.3	5	0.6	0.3	Negative	100-500 organisms
Pneumonic plague	fever=0.090909,difficulty breathing=1.000000,cough=0.250000,chills=0.166667	Human to Human Transmission, Airborne Transmission	3.2	4	1	0.5	Negative	100-500 organisms
Variola major - Smallpox	formation of lesions=1.000000,lesions=0.500000,severe infection=1.000000,generalized erythema and hemorrhages in the skin and mucosa=2.000000	Human to Human Transmission, Airborne Transmission, Fomite Transmission	6	13	0.3	0.03	NA	1 virus particle
Gastrointestinal tularemia	muscle aches=0.333333,fever=0.090909,painful sores/leision=2.000000,abdominal pain=0.666667,swollen lymph nodes=2.000000,vomiting=0.250000,malaise=0.500000,intestinal ulcerations=2.000000,chills=0.166667	Vector-borne Transmission	1.3	10	0.15	0.02	Negative	10-50 organisms
Pneumonic tularemia	bloody discharge=2.000000,fever=0.090909,painful breathing=2.000000,chills=0.166667,pneumonia=1.000000,chest pain=1.000000,difficulty breathing=0.500000,cough=0.250000,infection located in lung=1.000000	Airborne Transmission	2	4	0.6	0.02	Negative	10 organisms
Typhoidal tularemia	fever=0.090909,pneumonia=1.000000,myalgia=0.333333,weight loss=1.000000,bacteremia=1.000000,malaise=0.500000,dry cough=2.000000,pleuritis=2.000000,hilar lymphadenopathy=2.000000,chills=0.166667	Food Borne Transmission	2	10	0.15	0.02	Negative	10-50 organisms
Ebola hemorrhagic fever	muscle aches=0.333333,fever=0.090909,hiccups=1.000000,weakness=1.000000,diarrhea=0.333333,joint pain=1.000000,vomiting=0.250000,red eyes=1.000000,rash=0.500000,stomach pain=1.000000,hemorrhage=0.666667,internal and external bleeding=1.000000,sore throat=0.250000,headache=0.333333	Animal to Human Transmission, Human to Human Transmission, Sexual Transmission, Fomite Transmission, Nosocomial Transmission	1.7	12	0.7	0.7	NA	1-10 organisms
Marburg hemorrhagic fever	chest pain=0.500000,fever=0.090909,skin rash=2.000000,chills=0.166667,bleeding=1.000000,abdominal pain=0.333333,diarrhea=0.666667,myalgia=0.333333,vomiting=0.250000,maculopapular rash on the trunk=1.000000,hemorrhage=0.666667,nausea=1.000000,sore throat=0.250000,headache=0.333333	Animal to Human Transmission, Human to Human Transmission	1.59	8	0.55	0.55	NA	1-10 organisms
Lassa fever	retrosternal pain=1.000000,fever=0.090909,seizure=1.000000,abdominal pain=0.333333,back pain=1.000000,rash=1.000000,diarrhea=0.333333,infection=1.000000,vomiting=0.250000,conjunctivitis=1.000000,facial swelling=1.000000,hemorrhage=0.666667,cough=0.250000,mucosal bleeding=1.000000,sore throat=0.250000,proteinuria=1.000000	Animal to Human Transmission, Human to Human Transmission, Nosocomial Transmission, Airborne Transmission	1.7	10	0.2	0.2	NA	1-10 organisms
Bolivian (Machupo) hemorrhagic fever	bleeding from the bronchopulmonary=1.000000,fever=0.090909,hemorrhage from nasal and oral=2.000000,arthralgia=1.000000,myalgia=0.333333,seizure=1.000000,bleeding from the oral and nasal mucosa=1.000000,tremors=2.000000,fatigue=1.000000,headache=0.333333	Airborne Transmission, Food Borne Transmission, Animal to Human Transmission	1.7	7	0.3	0.3	NA	1-10 organisms
